"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"14"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	10.7777777777778	0.888888888888889	116.222222222222	13046.2222222222	4.7515321107348
"14"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	9.8	0.8	120.3	22952	4.76315292679517
"14"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	156.222222222222	15908.8888888889	5.00590922267019
"14"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	10.1818181818182	0.909090909090909	125.272727272727	14894	4.80901455262962
"14"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	140.625	19088.5	4.91742865020602
"14"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	10.1818181818182	0.909090909090909	128.545454545455	17769.0909090909	4.82735265947485
"14"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	159.625	22707.625	5.04814238642476
"14"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	126.307692307692	15359.0769230769	4.82798425117624
"14"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	9.3	0.8	153.5	17819.5	4.98974925975804
"14"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	138.461538461538	18275.6153846154	4.90155833099891
"14"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	161.9	21199.5	5.0667016802728
"14"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	138.25	20126.75	4.90757788042901
"14"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	11.2666666666667	0.933333333333333	138.666666666667	16393.4666666667	4.9061519928821
"14"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	153	447	5.03043792139244
"14"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	279	23655.75	5.48248198603838
"14"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	8	0.666666666666667	197.666666666667	19525.4666666667	5.26163773321287
"14"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	240	245	5.48063892334199
"14"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	117	734	4.76217393479776
"14"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	10.0526315789474	0.894736842105263	119.052631578947	17603.8947368421	4.77010082056218
"14"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	1	0	130	618	4.86753445045558
"14"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	9.10526315789474	0.736842105263158	192.105263157895	20896.0526315789	5.2160564133591
"15"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	131.166666666667	15798.5833333333	4.86145395149929
"15"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	142.125	18417.125	4.95328333237627
"15"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	145.833333333333	20922.5833333333	4.94062785298003
